Failed to import warp: No module named 'warp'
Failed to import mujoco_warp: No module named 'warp'
================================================================
APOLLO HUMANOID - STAGE 2: NATURAL STAND & LOCOMOTION (v9)
112-dim Base Frame Obs | Stand-Still Reward | Linear Actor
JAX Backend: gpu
Devices: [CudaDevice(id=0)]
z_nominal=1.0160m | TERM_HEIGHT=0.762m | ACTION_SCALE=0.15
OBS_DIM=112 | CTRL_DT=0.01s | step_freq=1.2Hz
[v9 CONFIG] Envs=4096 | Rollout=24 | Steps/iter=98,304 | Total iters=1525
[v9 CONFIG] Obs=112 | ActionScale=0.15 | Total steps=150,000,000
Starting training loop at 2026-09-10 17:47:34...
[0001/1525] steps=98,304 | rew=0.09977 | loss=0.2986 | sps=547 | ent=0.0100 | log_std=-2.422 | t=181s *** BALANCED WALKING ***
[0002/1525] steps=196,608 | rew=0.09592 | loss=0.2819 | sps=605 | ent=0.0100 | log_std=-2.354 | t=344s *** BALANCED WALKING ***
[0003/1525] steps=294,912 | rew=0.08727 | loss=0.3043 | sps=6,967 | ent=0.0099 | log_std=-2.297 | t=358s *** BALANCED WALKING ***
[0004/1525] steps=393,216 | rew=0.07660 | loss=0.2611 | sps=7,121 | ent=0.0099 | log_std=-2.245 | t=372s stepping
[0005/1525] steps=491,520 | rew=0.06851 | loss=0.2290 | sps=7,296 | ent=0.0099 | log_std=-2.200 | t=385s stepping
[0006/1525] steps=589,824 | rew=0.06173 | loss=0.2253 | sps=7,285 | ent=0.0099 | log_std=-2.159 | t=399s stepping
[0007/1525] steps=688,128 | rew=0.05323 | loss=0.1969 | sps=7,241 | ent=0.0099 | log_std=-2.119 | t=412s stepping
[0008/1525] steps=786,432 | rew=0.04951 | loss=0.1897 | sps=7,142 | ent=0.0099 | log_std=-2.084 | t=426s stepping
[0009/1525] steps=884,736 | rew=0.07209 | loss=0.1680 | sps=7,038 | ent=0.0098 | log_std=-2.048 | t=440s stepping
[0010/1525] steps=983,040 | rew=0.08399 | loss=0.2191 | sps=7,039 | ent=0.0098 | log_std=-2.028 | t=454s *** BALANCED WALKING ***
[0011/1525] steps=1,081,344 | rew=0.08492 | loss=0.2367 | sps=7,175 | ent=0.0098 | log_std=-2.016 | t=468s *** BALANCED WALKING ***
[0012/1525] steps=1,179,648 | rew=0.08424 | loss=0.2337 | sps=7,207 | ent=0.0098 | log_std=-2.007 | t=481s *** BALANCED WALKING ***
[0013/1525] steps=1,277,952 | rew=0.08153 | loss=0.2182 | sps=7,218 | ent=0.0098 | log_std=-2.001 | t=495s *** BALANCED WALKING ***
[0014/1525] steps=1,376,256 | rew=0.07811 | loss=0.2263 | sps=7,198 | ent=0.0098 | log_std=-1.994 | t=509s stepping
[0015/1525] steps=1,474,560 | rew=0.07315 | loss=0.2494 | sps=7,171 | ent=0.0097 | log_std=-1.987 | t=523s stepping
[0016/1525] steps=1,572,864 | rew=0.07180 | loss=0.2248 | sps=7,171 | ent=0.0097 | log_std=-1.981 | t=536s stepping
[0017/1525] steps=1,671,168 | rew=0.07338 | loss=0.1944 | sps=7,040 | ent=0.0097 | log_std=-1.975 | t=550s stepping
[0018/1525] steps=1,769,472 | rew=0.07648 | loss=0.1940 | sps=7,168 | ent=0.0097 | log_std=-1.970 | t=564s stepping
[0019/1525] steps=1,867,776 | rew=0.07923 | loss=0.1893 | sps=7,188 | ent=0.0097 | log_std=-1.966 | t=578s stepping
[0020/1525] steps=1,966,080 | rew=0.08073 | loss=0.1922 | sps=7,189 | ent=0.0096 | log_std=-1.962 | t=591s *** BALANCED WALKING ***
[0021/1525] steps=2,064,384 | rew=0.08115 | loss=0.1892 | sps=7,191 | ent=0.0096 | log_std=-1.959 | t=605s *** BALANCED WALKING ***
[0022/1525] steps=2,162,688 | rew=0.08120 | loss=0.1903 | sps=7,175 | ent=0.0096 | log_std=-1.955 | t=619s *** BALANCED WALKING ***
[0023/1525] steps=2,260,992 | rew=0.08021 | loss=0.1929 | sps=7,206 | ent=0.0096 | log_std=-1.952 | t=632s *** BALANCED WALKING ***
[0024/1525] steps=2,359,296 | rew=0.07894 | loss=0.1926 | sps=7,107 | ent=0.0096 | log_std=-1.949 | t=646s stepping
[0025/1525] steps=2,457,600 | rew=0.07804 | loss=0.1950 | sps=7,053 | ent=0.0096 | log_std=-1.945 | t=660s stepping
[0026/1525] steps=2,555,904 | rew=0.07833 | loss=0.2159 | sps=7,177 | ent=0.0095 | log_std=-1.943 | t=674s stepping
[0027/1525] steps=2,654,208 | rew=0.07901 | loss=0.2268 | sps=7,172 | ent=0.0095 | log_std=-1.940 | t=688s stepping
[0028/1525] steps=2,752,512 | rew=0.07965 | loss=0.2271 | sps=7,159 | ent=0.0095 | log_std=-1.937 | t=701s stepping
[0029/1525] steps=2,850,816 | rew=0.07925 | loss=0.2398 | sps=7,143 | ent=0.0095 | log_std=-1.935 | t=715s stepping
[0030/1525] steps=2,949,120 | rew=0.07820 | loss=0.2362 | sps=7,177 | ent=0.0095 | log_std=-1.932 | t=729s stepping
